designation,BLS_period,BLS_period_SNR,BLS_duration,BLS_depth,BLS_transit_time,channel,quarter,ra,dec,main_id,main_type,other_types,angDist
Gaia EDR3 2073682438979133056,0.7078670775852711,174.22112107003213,0.126,0.0236519013382835,2455463.5357082724,16,7,297.6471959727569,40.23411142116442,,,,
Gaia EDR3 2073682438989493888,0.7078670775852711,80.42924600081437,0.126,0.0013112213243028,2455463.5357082724,16,7,297.6494866753678,40.23170945078122,,,,
Gaia EDR3 2073682640842559360,0.7078670775852711,1098.8429386875405,0.126,0.0596830503682276,2455463.5387082724,16,7,297.64341652483205,40.23256581728588,,,,
Gaia EDR3 2073682645147917184,0.7078670775852711,255.41771917750663,0.126,0.0016571033757919,2455463.5357082724,16,7,297.64239615077327,40.22977978356498,,,,
Gaia EDR3 2077245814431169792,0.6378038642022296,1289.2534643975368,0.051,0.3218245635688226,2455463.807001468,17,7,295.91619721993624,42.74173763672154,,,,
Gaia EDR3 2079588461390777216,0.8699220471892908,58.07996360710979,0.099,0.0094148573766383,2455463.791953825,19,7,296.39442640320465,44.29539065132605,,,,
Gaia EDR3 2052499488484828928,0.523528867650883,499.9072493040336,0.45,0.0057111513298628,2455463.445491305,33,7,293.7014836466938,39.76800916588992,KIC 4661703,RotV*,*  |IR |Ro*,0.052361
Gaia EDR3 2052499488484831616,0.523528867650883,1513.3474840693934,0.45,0.0652891221466288,2455463.445491305,33,7,293.7044142964475,39.76863096760896,KIC 4661703,RotV*,*  |IR |Ro*,8.3841
Gaia EDR3 2107265956497850496,0.6045844174951982,45.64372673906028,0.45,0.0040055398959781,2455463.516669479,65,7,285.1945098977098,45.997036313739855,,,,
Gaia EDR3 2078734140854317440,0.525966033223337,304.3367778635671,0.45,0.0610865793045892,2455568.6424318696,60,8,297.1904257734129,43.25260067933903,,,,
